tag,name,flag,flag_square,flag_round
The_Czech_Republic,The Czech Republic,https//cdn.countryflags.com/thumbs/czech-republic/flag-400.png,https//cdn.countryflags.com/thumbs/czech-republic/flag-square-250.png,https//cdn.countryflags.com/thumbs/czech-republic/flag-round-250.png
Egypt,Egypt,https//cdn.countryflags.com/thumbs/egypt/flag-400.png,https//cdn.countryflags.com/thumbs/egypt/flag-square-250.png,https//cdn.countryflags.com/thumbs/egypt/flag-round-250.png
Belarus,Belarus,https//cdn.countryflags.com/thumbs/belarus/flag-400.png,https//cdn.countryflags.com/thumbs/belarus/flag-square-250.png,https//cdn.countryflags.com/thumbs/belarus/flag-round-250.png
Tajikistan,Tajikistan,https//cdn.countryflags.com/thumbs/tajikistan/flag-400.png,https//cdn.countryflags.com/thumbs/tajikistan/flag-square-250.png,https//cdn.countryflags.com/thumbs/tajikistan/flag-round-250.png
Chad,Chad,https//cdn.countryflags.com/thumbs/chad/flag-400.png,https//cdn.countryflags.com/thumbs/chad/flag-square-250.png,https//cdn.countryflags.com/thumbs/chad/flag-round-250.png
Colombia,Colombia,https//cdn.countryflags.com/thumbs/colombia/flag-400.png,https//cdn.countryflags.com/thumbs/colombia/flag-square-250.png,https//cdn.countryflags.com/thumbs/colombia/flag-round-250.png
South_Korea,South Korea,https//cdn.countryflags.com/thumbs/south-korea/flag-400.png,https//cdn.countryflags.com/thumbs/south-korea/flag-square-250.png,https//cdn.countryflags.com/thumbs/south-korea/flag-round-250.png
Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines,https//cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-400.png,https//cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-square-250.png,https//cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-round-250.png
Bhutan,Bhutan,https//cdn.countryflags.com/thumbs/bhutan/flag-400.png,https//cdn.countryflags.com/thumbs/bhutan/flag-square-250.png,https//cdn.countryflags.com/thumbs/bhutan/flag-round-250.png
Morocco,Morocco,https//cdn.countryflags.com/thumbs/morocco/flag-400.png,https//cdn.countryflags.com/thumbs/morocco/flag-square-250.png,https//cdn.countryflags.com/thumbs/morocco/flag-round-250.png
Azerbaijan,Azerbaijan,https//cdn.countryflags.com/thumbs/azerbaijan/flag-400.png,https//cdn.countryflags.com/thumbs/azerbaijan/flag-square-250.png,https//cdn.countryflags.com/thumbs/azerbaijan/flag-round-250.png
Grenada,Grenada,https//cdn.countryflags.com/thumbs/grenada/flag-400.png,https//cdn.countryflags.com/thumbs/grenada/flag-square-250.png,https//cdn.countryflags.com/thumbs/grenada/flag-round-250.png
Mongolia,Mongolia,https//cdn.countryflags.com/thumbs/mongolia/flag-400.png,https//cdn.countryflags.com/thumbs/mongolia/flag-square-250.png,https//cdn.countryflags.com/thumbs/mongolia/flag-round-250.png
